ID,Age Range,Gender,Education,Country ,Which of the following professional roles can diagnose ADHD,Do you believe that the label of ADHD is:,2,Do you personally view ADHD as a:,3,4,5,Applying ADHD as a label in general is,"Considering your current knowledge, understanding, and any experience of ADHD write a tweet sized response (maximum 140 characters) that summarises your views about ADHD
"
12,65 and over,Male,GCSE (UK) / Level 2 equivalent (UK) / High School Diploma (US),United Kingdom,Consultant Psychiatrist;Counselling Psychologist;,C) Both of the above (A & B),Strongly Agree,Social Construct,Agree,Neither Agree nor Disagree,Agree,Mostly harmful,I am of a generation that feels that some of these labels such as adhd are almost an excuse to account for certain types of behaviour.  
127,55 - 64,Male,GCSE (UK) / Level 2 equivalent (UK) / High School Diploma (US),United States,Therapist;,C) Both of the above (A & B),Strongly Agree,Formal medical diagnosis,Strongly Agree,Strongly Agree,Agree,Equally harmful & helpful,I think adhd is often misdiagnosed 
48,65 and over,Male,A level (UK) / Level 3 equivalent (UK) / AP (Advanced Placement) (US),United States,General Practitioner;Consultant Psychiatrist;Therapist;Clinical Psychologist;Counselling Psychologist;Mental Health Nurse;,D) Neither,Disagree,Formal medical diagnosis,Disagree,Disagree,Neither Agree nor Disagree,Equally harmful & helpful,"I have an ADHD family member. I do believe that it should be diagnosed by a professional, not something to be guessed at."
51,35 - 44,Female,Bachelors degree,United States,Consultant Psychiatrist;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Agree,Agree,Disagree,Equally harmful & helpful,"ADHD is real, complex, and context-dependent—medical diagnosis matters, but so does how society chooses to understand it."
57,45 - 54,Female,A level (UK) / Level 3 equivalent (UK) / AP (Advanced Placement) (US),United Kingdom,Clinical Psychologist;Consultant Psychiatrist;Counselling Psychologist;Mental Health Nurse;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Neither Agree nor Disagree,Disagree,Disagree,Mostly helpful,ADHD is a disorder that I think can be life changing for some people who are diagnosed with it and can change their life.
59,55 - 64,Male,Masters / Postgraduate degree,United Kingdom,Consultant Psychiatrist;Clinical Psychologist;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Equally harmful & helpful,"ADHD appears to be on the rise, but this is likely due to increased awareness of it."
63,25 - 34,Male,Bachelors degree,United Kingdom,General Practitioner;Clinical Psychologist;,C) Both of the above (A & B),Agree,Formal medical diagnosis,Agree,Disagree,Agree,Mostly helpful,"I see ADHD as a very real and misunderstood medical condition causing things like overthinking, hyperactivity and more detrimental actions"
94,65 and over,Male,Bachelors degree,United Kingdom,General Practitioner;Consultant Psychiatrist;Clinical Psychologist;Counselling Psychologist;Mental Health Nurse;,A) Sometimes misused and applied to individuals who do not meet medical criteria,Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Agree,Agree,Disagree,Mostly helpful,A well considered and scientifically based diagnosis is helpful to identify particular behaviours. 
96,18 - 24,Male,Bachelors degree,United Kingdom,Clinical Psychologist;Counselling Psychologist;Therapist;Consultant Psychiatrist;Mental Health Nurse;,A) Sometimes misused and applied to individuals who do not meet medical criteria,Neither Agree nor Disagree,Formal medical diagnosis,Agree,Disagree,Disagree,I am unsure,"ADHD is always best to be diagnosed by official consultants, because people misdiagnose others!"
113,45 - 54,Male,Doctorate,United States,General Practitioner;Consultant Psychiatrist;Clinical Psychologist;Counselling Psychologist;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Equally harmful & helpful,"ADHD stands for attention deficit hyperactivity disorder,it is caused by an environment that one lives in and sometimes its genetic"
143,35 - 44,Male,Bachelors degree,United Kingdom,General Practitioner;Consultant Psychiatrist;Therapist;Clinical Psychologist;Counselling Psychologist;,C) Both of the above (A & B),Disagree,Formal medical diagnosis,I Am Unsure,I Am Unsure,Neither Agree nor Disagree,Mostly helpful,"ADHD is a fairly new diagnosis that i hear about, when i was younger i never heard of anybody with ADHD "
4,65 and over,Male,Bachelors degree,United Kingdom,General Practitioner;Consultant Psychiatrist;Clinical Psychologist;Counselling Psychologist;Mental Health Nurse;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Strongly Agree,Agree,I Am Unsure,Equally harmful & helpful,Although I have no experience of ADHD it seems to me to be too often applied to what is simply bad behaviour in children 
62,25 - 34,Male,A level (UK) / Level 3 equivalent (UK) / AP (Advanced Placement) (US),United Kingdom,General Practitioner;Mental Health Nurse;Counsellor;Counselling Psychologist;Clinical Psychologist;Therapist;Consultant Psychiatrist;,C) Both of the above (A & B),Strongly Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Equally harmful & helpful,"ADHD is often self diagnosed, and used as a scapegoat for less than savoury behaviour!"
114,45 - 54,Male,A level (UK) / Level 3 equivalent (UK) / AP (Advanced Placement) (US),United Kingdom,Clinical Psychologist;Consultant Psychiatrist;Mental Health Nurse;,C) Both of the above (A & B),I Am Unsure,Formal medical diagnosis,I Am Unsure,Agree,Disagree,I am unsure,I think we can gain a better understanding of ADHD if more resources are allocated to research the causes and symptoms.
133,25 - 34,Male,Masters / Postgraduate degree,United States,Therapist;Consultant Psychiatrist;Counselling Psychologist;Counsellor;Mental Health Nurse;Clinical Psychologist;,C) Both of the above (A & B),Strongly Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Neither Agree nor Disagree,Strongly Disagree,Disagree,Mostly harmful,To my understanding attention-deficit/hyperactivity disorder (ADHD) is a condition where a person episodes of inattention. 
192,18 - 24,Female,Bachelors degree,United States,General Practitioner;Mental Health Nurse;Clinical Psychologist;Consultant Psychiatrist;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Agree,Agree,Disagree,Equally harmful & helpful,"ADHD is a multifaceted disorder affecting focus, behavior, and impulse control, but with appropriate support, individuals can thrive."
3,45 - 54,Female,Doctorate,United Kingdom,Consultant Psychiatrist;Clinical Psychologist;,C) Both of the above (A & B),Strongly Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Strongly Agree,Agree,Strongly Agree,Equally harmful & helpful,ADHD is a real medical condition not a fashion accessory  
5,55 - 64,Female,GCSE (UK) / Level 2 equivalent (UK) / High School Diploma (US),United Kingdom,Clinical Psychologist;Consultant Psychiatrist;,C) Both of the above (A & B),Strongly Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Agree,I Am Unsure,I Am Unsure,Equally harmful & helpful,It can be used as an excuse for poor behaviour and not wanting to work or be responsible when the person needed better upbringing
6,55 - 64,Female,A level (UK) / Level 3 equivalent (UK) / AP (Advanced Placement) (US),United Kingdom,General Practitioner;Consultant Psychiatrist;Clinical Psychologist;Counselling Psychologist;Mental Health Nurse;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Agree,Agree,Strongly Agree,Equally harmful & helpful,My view of ADHD is that it’s a medical term that has gone from being a label for a specific type of illness to a term that’s over used 
7,25 - 34,Female,A level (UK) / Level 3 equivalent (UK) / AP (Advanced Placement) (US),United States,General Practitioner;Consultant Psychiatrist;Clinical Psychologist;Counselling Psychologist;,C) Both of the above (A & B),Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Agree,Strongly Agree,Neither Agree nor Disagree,Equally harmful & helpful,"ADHD is real and often misunderstood. With support and awareness, those with ADHD can thrive and succeed.









"
8,18 - 24,Female,Masters / Postgraduate degree,United States,Clinical Psychologist;Mental Health Nurse;,C) Both of the above (A & B),Strongly Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Neither Agree nor Disagree,Agree,Disagree,Mostly helpful,Individuals with ADHD should not be scolded in school or workplace when they seem to have forgotten something important to attend to.
9,35 - 44,Female,Masters / Postgraduate degree,United Kingdom,Consultant Psychiatrist;,D) Neither,Agree,Formal medical diagnosis,Strongly Agree,Agree,Neither Agree nor Disagree,Mostly helpful,"ADHD is often still looked at through old research on males. There is also still issues with being ""successful"" but struggling with ADHD."
10,45 - 54,Female,Bachelors degree,United States,Consultant Psychiatrist;Clinical Psychologist;Counselling Psychologist;Mental Health Nurse;,C) Both of the above (A & B),Strongly Agree,Both a Formal Medical Diagnosis and a Social Construct depending upon the context,Neither Agree nor Disagree,Agree,Agree,Equally harmful & helpful,ADHD is equally a disease like any other. There should be a massive awareness on the same.
